strata,year,Model 18,Model 22.1.a,Model 22.1.b,Model 22.2.a,Model 22.2.b,Model 22.2.c,Model 22.3
WGOA,2002,0.20824267387562165,0.20625482354126537,0.2048628666578287,0.1922693145773688,0.20523896117072846,0.1924962840156653,0.21668439933433775
EGOA,2003,0.3392867887591436,0.318754864664959,0.32003479015492464,0.33988479469840177,0.32019884643297075,0.35139655915048257,0.30198450979800984
CGOA,2003,0.44921260548250413,0.4711702893089665,0.4706992600555178,0.4548656215995703,0.4683823902614321,0.4458646175979663,0.47570272489036425
WGOA,2003,0.21150060575835228,0.21007484602607446,0.2092659497895575,0.205249583702028,0.21141876330559717,0.20273882325155113,0.22231276531162594
EGOA,2004,0.34400645333787605,0.35171431872434694,0.3527980495010784,0.3511610084900874,0.3392848773359733,0.35239872712188064,0.31663489433364556
CGOA,2004,0.4468241861702346,0.42925279643974307,0.42863980636070825,0.4351415938761848,0.45630264110361307,0.4464098150730511,0.45980482146814655
WGOA,2004,0.2091693604918894,0.21903288483590996,0.2185621441382134,0.21369739763372791,0.20441248156041364,0.2011914578050683,0.22356028419820786
EGOA,2005,0.348678574979107,0.33662861362496926,0.3382682381212247,0.3643823740349318,0.33805490046626685,0.3619726619067207,0.3304470158031318
CGOA,2005,0.4444943158682221,0.44009450544436984,0.4391577530498854,0.42305780225011824,0.44202580262115115,0.43527459664241447,0.4451299189483237
WGOA,2005,0.206827109152671,0.22327688093066092,0.22257400882888992,0.21255982371495002,0.21991929691258197,0.20275274145086475,0.22442306524854444
EGOA,2006,0.37449335716840804,0.39226953845889084,0.39504348983718585,0.39798929512217035,0.3821336671763969,0.3839280878057947,0.367107081400678
CGOA,2006,0.4376315804182255,0.4336274433003278,0.43161344817530545,0.42432726404961524,0.441601460439207,0.43416122121461903,0.4443232612214915
WGOA,2006,0.18787506241336652,0.17410301824078137,0.17334306198750868,0.17768344082821444,0.17626487238439612,0.1819106909795863,0.1885696573778306
EGOA,2007,0.4005579824241358,0.4086259604466761,0.4118351695513794,0.4081304929476593,0.4084206694938868,0.39840400079911126,0.4027739167946146
CGOA,2007,0.42927282294364416,0.4364809711264659,0.434180001755173,0.42607829194469315,0.43581837304898685,0.430222252044334,0.4399511448003215
WGOA,2007,0.17016919463222,0.15489306842685796,0.15398482869344768,0.16579121510764752,0.15576095745712637,0.17137374715655473,0.15727493840506382
EGOA,2008,0.3960099439366189,0.40274801004487126,0.4063316817266179,0.41045415827913506,0.3974467207759074,0.4007786876023009,0.39752566273414874
CGOA,2008,0.4321776049070355,0.423970365766139,0.421423119695341,0.41603775119070224,0.4215018269589029,0.42145216967168136,0.42646893852597706
WGOA,2008,0.17181245115634555,0.17328162418898962,0.17224519857804108,0.1735080905301627,0.18105145226518962,0.17776914272601774,0.1760053987398742
EGOA,2009,0.3930503141598878,0.3792927347936854,0.38024049646349656,0.3812874674940212,0.38063469516226806,0.3924054397236059,0.3912229829914278
CGOA,2009,0.43390428498264383,0.4012510178047321,0.40038067338346855,0.41685942327261766,0.4055290419420944,0.4192957511973048,0.4105714869065654
WGOA,2009,0.17304540085746845,0.21945624740158245,0.21937883015303494,0.20185310923336122,0.2138362628956375,0.18829880907908927,0.19820553010200678
EGOA,2010,0.4043673822694167,0.41802336845318383,0.42141747266854374,0.4195694961846355,0.40349301987995007,0.4075512488800702,0.4143411329556682
CGOA,2010,0.44033991750385315,0.40113121149048997,0.3988756808933507,0.40483820158984873,0.41460316016572296,0.4194299940048899,0.4350501449421933
WGOA,2010,0.15529270022673014,0.1808454200563263,0.17970684643810553,0.17559230222551578,0.18190381995432703,0.1730187571150398,0.15060872210213852
EGOA,2011,0.41680698736356364,0.41655017100060115,0.4185511296728621,0.4138769758192162,0.41747808244298446,0.4125673432909318,0.4330149067201345
CGOA,2011,0.4443098856833331,0.4347351255712671,0.4329326627723531,0.43829141750687184,0.43706584254936115,0.43527870087311676,0.4521625107867196
WGOA,2011,0.13888312695310323,0.14871470342813173,0.14851620755478478,0.14783160667391199,0.1454560750076544,0.15215395583595148,0.11482258249314593
EGOA,2012,0.4071399820945778,0.40220464874173323,0.40565265955786983,0.40619511530038693,0.404443279224632,0.40848046134596877,0.4184868389413131
CGOA,2012,0.4519450139366882,0.454615442413397,0.45182282808784874,0.4496690451929695,0.4466201674307731,0.43777392292154843,0.4604031839404091
WGOA,2012,0.14091500396873397,0.14317990884486978,0.1425245123542814,0.1441358395066436,0.14893655334459482,0.15374561573248283,0.12110997711827791
EGOA,2013,0.39743194876901816,0.39216912321400005,0.39626630907147087,0.4053577305716586,0.38506630775512024,0.40033551193135736,0.40316446430122743
CGOA,2013,0.459244304884768,0.4285759592880782,0.4252323102777534,0.4292406242778014,0.4421723935663503,0.432618451587847,0.4673115282751289
WGOA,2013,0.1433237463462139,0.17925491749792175,0.17850138065077578,0.16540164515053996,0.17276129867852943,0.1670460364807956,0.12952400742364364
EGOA,2014,0.38262233040759036,0.3606107141396494,0.3647917888589939,0.37109661240564984,0.36447460537289317,0.38379555815205496,0.38154992899759316
CGOA,2014,0.46663351635634076,0.4415186446411043,0.4384819388926328,0.4368653560093027,0.44464205002511514,0.43032487495382593,0.4775884456166241
WGOA,2014,0.15074415323606893,0.19787064121924636,0.19672627224837338,0.19203803158504745,0.1908833446019917,0.1858795668941191,0.14086162538578267
EGOA,2015,0.36766666321588765,0.34023852613496575,0.3432959317747749,0.3561710500515345,0.34848734158572287,0.3727770832863226,0.3586748987472243
CGOA,2015,0.47376847186328896,0.45606536998653413,0.45451651116846387,0.44249400444059533,0.45705432943357976,0.43178904324004397,0.488010398413888
WGOA,2015,0.15856486492082345,0.20369610387850015,0.20218755705676125,0.20133494550787018,0.19445832898069745,0.19543387347363342,0.15331470283888773
EGOA,2016,0.37372856184238257,0.3814183001953041,0.384794731447386,0.38365513521660233,0.36273688718389346,0.37454177819623274,0.3646826657474176
CGOA,2016,0.4632027937192943,0.3854152639364702,0.38417811971525684,0.3926159430482047,0.4208657797091252,0.41549131448946724,0.47052645033871016
WGOA,2016,0.16306864443832317,0.2331664358682258,0.23102714883735712,0.22372892173519296,0.2163973331069814,0.20996690731429998,0.1647908839138722
