strata,year,Model 18*,Model 22,Model 18* no 1984/87,Model 22 no 1984/87
CGOA,2002,0.4500960969841096,0.4423326799092986,0.4508935030875452,0.44542963547600717
WGOA,2002,0.20506656332023,0.19349914915064126,0.20360029317180298,0.19480996684003135
EGOA,2003,0.3200450351742001,0.3501371113034632,0.32005806477908694,0.34534642680312744
CGOA,2003,0.4706140097544549,0.4461305898317464,0.4714087935455732,0.44993506424979735
WGOA,2003,0.20934095507134512,0.20373229886479036,0.20853314167533996,0.2047185089470752
EGOA,2004,0.34941995463627307,0.35318850430679405,0.34982799028311645,0.35639053274319643
CGOA,2004,0.4309738687174136,0.4453664508425081,0.4289019068657484,0.441405244411013
WGOA,2004,0.21960617664631318,0.2014450448506979,0.2212701028511351,0.20220422284579068
EGOA,2005,0.3383104086539486,0.3613493123580903,0.33885785610920155,0.3596303746873179
CGOA,2005,0.4391347123062392,0.4345856239434851,0.43964061130931503,0.43284287520573805
WGOA,2005,0.22255487903981225,0.20406506369842456,0.22150153258148342,0.2075267501069441
EGOA,2006,0.39514996957768295,0.3838534007137288,0.39536967174097964,0.384444809967334
CGOA,2006,0.4315262611470951,0.4343467802682904,0.4306120977683657,0.43411707249584025
WGOA,2006,0.17332376927522206,0.18179981901798087,0.1740182304906547,0.18143811753682584
EGOA,2007,0.4119464471878103,0.39849557736080254,0.41233135239211083,0.3995566654568542
CGOA,2007,0.43405877805850446,0.43089537701458935,0.43346505432060944,0.43243236918845296
WGOA,2007,0.1539947747536853,0.1706090456246081,0.15420359328727967,0.16801096535469276
EGOA,2008,0.4090728324486043,0.39984636651602024,0.4089583810787188,0.3975496531291244
CGOA,2008,0.41940440273229795,0.42204071789038605,0.42010316514937684,0.42351064438155156
WGOA,2008,0.17152276481909767,0.17811291559359363,0.17093845377190442,0.17893970248932406
EGOA,2009,0.3797825087316725,0.39233361006753154,0.38039746348692133,0.39288899183244763
CGOA,2009,0.4008002478338723,0.41832112490301004,0.40070719342463906,0.41395282095407854
WGOA,2009,0.2194172434344552,0.1893452650294584,0.21889534308843953,0.19315818721347386
EGOA,2010,0.42419121262787035,0.4066780639522541,0.4248833785733632,0.40471509281320006
CGOA,2010,0.3970263400123271,0.4200559593589589,0.3978966551839038,0.42111918056164166
WGOA,2010,0.17878244735980262,0.17326597668878702,0.177219966242733,0.17416572662515817
EGOA,2011,0.4186385910160604,0.413034223635114,0.41861629688497975,0.4135766311001166
CGOA,2011,0.43287928082623317,0.4365977454461568,0.4327776292836208,0.43937459799099704
WGOA,2011,0.14848212815770637,0.1503680309187293,0.14860607383139948,0.14704877090888635
EGOA,2012,0.40582452223484317,0.4080859867137372,0.4053366513215506,0.40459952648743547
CGOA,2012,0.45161261940784636,0.4397141651297038,0.45150369004024427,0.4460455269639965
WGOA,2012,0.14256285835731056,0.15219984815655904,0.1431596586382052,0.14935494654856796
EGOA,2013,0.39720371199124094,0.39899994940766625,0.39744349730000594,0.3925447990800752
CGOA,2013,0.42460722050532446,0.43509390520500074,0.4250526337427024,0.4435519297544163
WGOA,2013,0.1781890675034346,0.165906145387333,0.17750386895729167,0.16390327116550849
EGOA,2014,0.3649782053303643,0.38291584918512717,0.36523914244382544,0.37667693575861777
CGOA,2014,0.43836916725122366,0.43184331974312423,0.4385787549302224,0.43965092631221425
WGOA,2014,0.19665262741841205,0.18524083107174855,0.19618210262595218,0.18367213792916803
EGOA,2015,0.34266964193489774,0.3727736209880801,0.3424700628847028,0.36763829296931455
CGOA,2015,0.4549932064608014,0.4328988010886338,0.4547386205210493,0.44086526166357876
WGOA,2015,0.20233715160430082,0.19432757792328606,0.2027913165942479,0.19149644536710675
EGOA,2016,0.3854528343649597,0.3747133053417023,0.3858977936309425,0.37011763691498356
CGOA,2016,0.383936129142406,0.4153077748921043,0.3836655896530912,0.41937143425354995
WGOA,2016,0.23061103649263423,0.20997891976619337,0.2304366167159663,0.2105109288314665
EGOA,2017,0.3665218574020757,0.3731234108836615,0.3662575590518021,0.3673478718501165
CGOA,2017,0.41108821743769053,0.4122025118591531,0.4113102099537914,0.41731843347089853
WGOA,2017,0.22238992516023368,0.21467407725718538,0.22243223099440645,0.21533369467898492
EGOA,2018,0.38899720064254983,0.3698026108944681,0.3895525994907274,0.3656502876778481
CGOA,2018,0.3761111409523419,0.4080705104774573,0.3760538429331561,0.40995113629343205
WGOA,2018,0.2348916584051083,0.22212687862807454,0.23439355757611655,0.2243985760287199
EGOA,2019,0.3515004840722945,0.3571515490252091,0.35233538837882733,0.35606706028423096
CGOA,2019,0.4062546784774598,0.41786921561358736,0.40643392018484353,0.4174300810666642
WGOA,2019,0.2422448374502456,0.2249792353612035,0.24123069143632914,0.22650285864910494
EGOA,2020,0.3211191093479108,0.3485420081775754,0.3214380946862405,0.35444889376827715
CGOA,2020,0.4486169804023992,0.4363209754068437,0.4479544381469629,0.43045012368505403
WGOA,2020,0.23026391024969006,0.21513701641558083,0.23060746716679653,0.21510098254666876
EGOA,2021,0.3288205835506883,0.3534136737529886,0.3288266257220434,0.36147969763430887
CGOA,2021,0.45741828419438474,0.4429479620138001,0.4567280553848198,0.43473230114591366
WGOA,2021,0.21376113225492696,0.2036383642332113,0.21444531889313678,0.20378800121977736
EGOA,2022,0.4336963726182459,0.3763728721614936,0.43323051481641356,0.3813943498945539
CGOA,2022,0.3898040989513831,0.4321762427464924,0.389066143451029,0.4258832961443431
WGOA,2022,0.17649952843037098,0.19145088509201402,0.17770334173255736,0.192722353961103
EGOA,2023,0.4336963726182459,0.3763728721614936,0.43323051481641356,0.3813943498945539
CGOA,2023,0.3898040989513831,0.4321762427464924,0.389066143451029,0.4258832961443431
WGOA,2023,0.17649952843037098,0.19145088509201402,0.17770334173255736,0.192722353961103
